"","Age","aMortCEF1","aMortCEF2","aMortCEF3","aMortCEF4","aMortCEF5","aMortCEF6","aMortCEF7","aMortCEF8","aMortCEF9","aMortCEF10","aMortCEF11","aMortCEF12","aMortCEF13","aMortCEF14","aMortCEF15","aMortCEF16","aMortCEF17","aMortCEF18","aMortCEF19","aMortCEF20","aMortCEF21","aMortCEF22","aMortCEF23","aMortCEF24","aMortCEF25","aMortCEF26","aMortCEF27","aMortCEF28","aMortCEF29","aMortCEF30","aMortCEF31","aMortCEF32","aMortCEF33","aMortCEF34","aMortCEF35","aMortCEF36","aMortCEF37","aMortCEF38","aMortCEF39","aMortCEF40","aMortCEF41","aMortCEF42","aMortCEF43","aMortCEF44","aMortCEF45","aMortCEF46","aMortCEF47","aMortCEF48","aMortCEF49","aMortCEF50","aMortCEF51","aMortCEF52","aMortCEF53","aMortCEF54","aMortCEF55","aMortCEF56","aMortCEF57","aMortCEF58","aMortCEF59","aMortCEF60","aMortCEF61","aMortCEF62","aMortCEF63","aMortCEF64","aMortCEF65","aMortCEF66","aMortCEF67","aMortCEF68","aMortCEF69","aMortCEF70","aMortCEF71","aMortCEF72","aMortCEF73","aMortCEF74","aMortCEF75","aMortCEF76","aMortCEF77","aMortCEF78","aMortCEF79","aMortCEF80","aMortCEF81","aMortCEF82","aMortCEF83","aMortCEF84","aMortCEF85","aMortCEF86","aMortCEF87","aMortCEF88","aMortCEF89","aMortCEF90","aMortCEF91","aMortCEF92","aMortCEF93","aMortCEF94","aMortCEF95","aMortCEF96","aMortCEF97","aMortCEF98","aMortCEF99","aMortCEF100","aMortCEF101","aMortCEF102","aMortCEF103","aMortCEF104","aMortCEF105","aMortCEF106","aMortCEF107","aMortCEF108","aMortCEF109","aMortCEF110","aMortCEF111"
"38",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185977890449679,0.00384423572437873,0.00588064167567118,0.00810406450004159,0.0105664533289004,0.0131742997257086,0.0161250103898264,0.0193666361898429,0.0229407364308869,0.0268473111129583,0.0310655805834927,0.0357306125841576,0.0407385088521321,0.0460373202560054,0.0519075721053944,0.0582557559637603,0.0649052447843072,0.0721781231817804,0.0799393234145125,0.0882927437453246,0.097176045216524,0.106526888870418,0.116355664533289,0.126475355332059,0.137405452580833,0.149426481589228,0.161291663203391,0.17451791206051,0.188544177541351,0.203765273044635,0.219537029340869,0.236451666528136,0.254415676169894,0.273190092261657,0.2935437619483,0.314728617737511,0.33748233729532,0.361991937494805,0.387280774665448,0.414252763693791,0.442492311528551,0.471770841991522,0.502732524312194,0.534504613082869,0.568042972321503,0.60169561964924,0.636127503948134,0.670954201645748,0.705604272296567,0.740150444684565,0.774468040894356,0.807081705593882,0.838781065580583,0.866729698279445,0.893140636688554,0.916019034161749,0.935697365140055,0.951604189177957,0.964518743246613,0.974700773003075,0.982482752888372,0.988238716648657,0.992342698030089,0.995179120605103,0.997070068988446,0.998285678663453,0.999033746155764,0.999480508685895,0.999740254342947,0.999885711910897,0.999968830521153,1
"39",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198815434739611,0.00402835462011672,0.00625592022400562,0.0087228970843872,0.0113356025356774,0.0142918110941095,0.0175394768343586,0.0211202364966846,0.0250340900810876,0.0292602192174374,0.0339339433115781,0.0389511705128606,0.0442598548959602,0.0501410444576293,0.0565010565322841,0.0631629349738209,0.0704493645192518,0.078225025762733,0.0865940105549136,0.0954938637854042,0.104862130343815,0.114709219415212,0.124847765668426,0.135798228356702,0.147841655476793,0.15972894482091,0.172979837408529,0.187032237246146,0.202281693366226,0.218082836294746,0.235028989580406,0.25302647055762,0.271835867969897,0.292227461512038,0.313451789859372,0.336247905151506,0.360803172719608,0.386139129167577,0.413161373596061,0.441453538602463,0.470786622115355,0.50180599360876,0.533637281537228,0.56723813092673,0.600953481351945,0.635449520657028,0.670341108994577,0.705055741186022,0.739666281526819,0.774047819796188,0.806722251714913,0.838480675347927,0.866481383172511,0.89294153160749,0.915862557120403,0.935577553633326,0.95151401596769,0.964452633003362,0.974653634366965,0.982450113980576,0.988216802506532,0.992328430607168,0.995170138129886,0.997064609811698,0.998282484464291,0.999031945788964,0.999479540746755,0.999739770373377,0.999885498964286,0.999968772444805,1
"40",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204426458624498,0.0042762677569411,0.00674815911888022,0.00936606937983686,0.0123281670456205,0.015582302509439,0.0191701954567262,0.0230918458874821,0.0273263939589896,0.032009428648908,0.0370366507436534,0.0423559106364338,0.0482488162039258,0.0546214981539039,0.0612966478232754,0.0685975927741505,0.07638874402887,0.084774400801018,0.0936919835624439,0.103078912784998,0.112945618390037,0.123104361793112,0.134076639062142,0.146144058073802,0.158055028265087,0.171332318154321,0.185412711988152,0.200692546778197,0.216525167400238,0.233505079371702,0.251538413400363,0.270385281294979,0.290817497236071,0.312084106885834,0.334925634660715,0.359529819145164,0.384916247731492,0.41199232357788,0.440340849829992,0.469732368217944,0.500813533865955,0.53270823337992,0.566376019524813,0.600158534804648,0.634723294186362,0.669684390579695,0.704468178309935,0.739147666826592,0.773597697073364,0.80633722021736,0.838158910281817,0.866215398735893,0.892728258828928,0.91569494566011,0.935449216712906,0.951417426312606,0.964381818561088,0.974603141492313,0.982415152589749,0.988193329022299,0.992313147958864,0.995160516489706,0.997058762176933,0.998279062975865,0.999030017313669,0.99947850393208,0.99973925196604,0.999885270865058,0.999968710235925,1
"41",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00223657532242222,0.00471353023557201,0.00733680316046908,0.0103049685416276,0.0135657699462804,0.0171610125206413,0.0210906962647103,0.0253339186053804,0.0300265462678456,0.0350640663865723,0.0403942225287934,0.04629919943145,0.052684935515562,0.0593737589097218,0.0666896594970841,0.074496770552455,0.0828996049413683,0.0918354549445037,0.101241612842541,0.111128529922033,0.12130808302502,0.132302836479171,0.144394975021425,0.156330344265379,0.169634832047825,0.183744068894881,0.199055203695575,0.214920256683598,0.231934951192492,0.250005225643277,0.268890700445225,0.289364770803286,0.310674944085617,0.333563261637508,0.358217846616919,0.383656278087833,0.410787817980393,0.439194414832466,0.468646140339876,0.499790974268933,0.531751008549152,0.565487761543446,0.599339478689827,0.633975042327711,0.669007754854623,0.703862795510127,0.738613323300098,0.773133922785895,0.805940511276938,0.837827386551285,0.865941347379862,0.892508517798541,0.915522250789072,0.935316987521164,0.95131790723438,0.964308856420225,0.974551117242533,0.98237913087101,0.98816914362158,0.992297401810163,0.995150603039234,0.997052737191948,0.998275537718693,0.999028030350536,0.999477435672331,0.999738717836166,0.999885035847913,0.99996864614034,1
"42",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248250722755267,0.00511166045166966,0.00808647923911683,0.0113545900196924,0.0149578916495579,0.0188963841287133,0.0231491180290778,0.0278522646331755,0.0329010768006034,0.0382431809611598,0.044161394393933,0.0505614446725605,0.0572652616583567,0.0645975614865714,0.0724221728746805,0.0808438429630871,0.0897997234675493,0.0992269661038253,0.109136045585955,0.119338417061214,0.130357816231617,0.142477060376252,0.154439183810282,0.167773494783592,0.181914358738006,0.197259814807056,0.213160430720241,0.230213265177861,0.248324045753551,0.267251854024385,0.287771818829346,0.309129760757531,0.332069384505803,0.356779234926886,0.382274688900993,0.409467046549629,0.437937319311183,0.467455063476767,0.498669711316881,0.530701386852139,0.564513763774249,0.598441362550802,0.633154564880379,0.668265806343487,0.70319897766791,0.738027401851929,0.772625382327063,0.805505509699585,0.837463862236561,0.865640843004986,0.892267566095446,0.915332886412201,0.935171994804542,0.951208782000251,0.964228851552353,0.974494071311853,0.982339632128043,0.988142623706373,0.992280135752294,0.995139732685298,0.997046130640634,0.998271672183349,0.999025851594252,0.999476264297985,0.999738132148992,0.999884778145557,0.999968575857879,1
"43",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263569635937879,0.00561791853493093,0.0088941626151148,0.0125064317291638,0.0164547258770779,0.0207180434942403,0.0254328947506589,0.0304942718232509,0.0358496708004747,0.0417826128046539,0.0481985907950143,0.0549190914723147,0.0622696390881121,0.0701137234723987,0.0785563524482574,0.0875345213218385,0.0969852253992922,0.106918965462927,0.117146727431194,0.128193550419506,0.140342955550189,0.152334848946247,0.16570234482469,0.17987840094087,0.195262047022503,0.211202234566475,0.228297508164358,0.246453360775378,0.265428274406443,0.285999306948368,0.307410402074955,0.330407115330092,0.355178460795329,0.380737364933688,0.407997395805988,0.436538522119898,0.466129726664637,0.497422057943317,0.529533450242043,0.563429975533177,0.597442009429703,0.632241601999349,0.66744022429671,0.70246033329483,0.737375434469868,0.772059518434123,0.80502147409982,0.837059360922389,0.865306465331667,0.89199945395932,0.915122176602157,0.935010658294043,0.951087356008023,0.964139828417217,0.974430595079334,0.982295681028237,0.988113114427025,0.992260923438796,0.995127637008957,0.997038779389065,0.998267370919134,0.99902342724533,0.999474960884586,0.999737480442293,0.999884491394609,0.999968497653075,1
"44",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299010317961683,0.00627500526426612,0.00989682038323854,0.0138555485365341,0.0181301326595073,0.0228574436723521,0.0279321962518425,0.0333017477363656,0.0392503684986313,0.0456833017477364,0.0524215624341967,0.0597915350600126,0.0676563487049905,0.0761212886923563,0.0851231838281743,0.0945988629185091,0.104558854495683,0.11481364497789,0.125889660981259,0.138071172878501,0.150094756790903,0.163497578437566,0.177711097073068,0.193135396925669,0.209117708991367,0.22625815961255,0.244461991998315,0.263487049905243,0.284112444725205,0.305580122130975,0.328637607917456,0.353474415666456,0.37910086333965,0.406432933249105,0.435049484101916,0.464718888186987,0.496093914508318,0.528290166350811,0.562276268688145,0.596378184881028,0.631269740998105,0.666561381343441,0.701674036639292,0.736681406611918,0.771457148873447,0.80450621183407,0.836628763950305,0.864950515898084,0.891714045062118,0.914897873236471,0.934838913455464,0.950958096441356,0.964045062118341,0.974363023794483,0.982248894504106,0.988081701410823,0.992240471678248,0.995114761002316,0.997030953885028,0.998262792166772,0.999020846493999,0.99947357338387,0.999736786691935,0.999884186144451,0.999968414403032,1
"45",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00329475373827818,0.00692743093689269,0.0108980315958435,0.0151854354988595,0.0199269240517022,0.0250168961730168,0.0304025513221255,0.0363690124186871,0.0428212384894821,0.0495797076962067,0.0569717833910619,0.0648601841682858,0.0733505111092337,0.0823794035650924,0.091883500887049,0.101873363183239,0.112158908507223,0.123268142265777,0.135486187378559,0.147545830869308,0.160988848525809,0.175244994508744,0.190715552927262,0.206745797076962,0.223937653121568,0.24219608008786,0.261278195488722,0.281965447326181,0.30349750781448,0.326624144631241,0.351535439722903,0.377238742924728,0.404652783644505,0.433355157556813,0.463113542282673,0.494582664526485,0.526875475204866,0.560963504266284,0.595167694517192,0.630163892878263,0.665561375348484,0.7007793359804,0.735891695530962,0.770771732702543,0.8039199121399,0.836138802061333,0.864545492945848,0.891389287826307,0.914642645940694,0.934643490749345,0.950811016304807,0.963937230717243,0.97428613669004,0.982195657683535,0.988045957590606,0.992217200304131,0.995100109825125,0.997022049505787,0.998257582157641,0.999017909943398,0.999471994593225,0.999735997296612,0.99988383881051,0.999968319675594,1
"46",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00364468553992202,0.00762841159518573,0.011929988133582,0.0166871503644686,0.0217939481268012,0.0271974063400577,0.0331835904390575,0.0396571452788609,0.0464379555856925,0.0538544668587897,0.0617689438887947,0.0702873368367521,0.0793460756060349,0.088881590100017,0.0989044753348026,0.109224021020512,0.120369977962367,0.132628411595186,0.144727919986438,0.158215375487371,0.172518647228344,0.188040345821326,0.204123580267842,0.221372266485845,0.239691049330395,0.25883624343109,0.279591879979658,0.301195117816579,0.324398203085269,0.349391846075606,0.375180115273775,0.402684777080861,0.431482030852687,0.461338786234955,0.49291193422614,0.52531149347347,0.559512205458553,0.593829462620783,0.628941345990846,0.664455839972877,0.699790218681133,0.735018647228344,0.770013985421258,0.803271740973046,0.835597135107646,0.864097728428547,0.891030259365994,0.914360484827937,0.934427445329717,0.950648414985591,0.963818020003391,0.974201135785727,0.982136802847941,0.988006441769792,0.992191473131039,0.995083912527547,0.997012205458553,0.99825182234277,0.999014663502289,0.999470249194779,0.99973512459739,0.999883454822852,0.999968214951687,1
"47",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399829859634209,0.00831561037856237,0.013090174393875,0.0182156529136539,0.0236388770735858,0.0296469587409613,0.0361441939600171,0.0429498085920885,0.0503934495959167,0.0583368779242876,0.0668864313058274,0.0759783071033603,0.0855487026797108,0.0956082518077414,0.105965546575925,0.117152275627393,0.129455550829434,0.141599319438537,0.155136112292642,0.169491705657167,0.185070182900893,0.201212250106338,0.21852403232667,0.236909825606125,0.256125053168864,0.276956614206721,0.298638877073586,0.321926839642705,0.347011909825606,0.372894512973203,0.400499787324543,0.429402381965121,0.459368353891961,0.491056997022544,0.52357507443641,0.557900893236921,0.59234368353892,0.627584006805615,0.663228413441089,0.698692045937899,0.734049340706083,0.769172692471289,0.802552105487027,0.834995746490855,0.86360059549128,0.890631646108039,0.91404721395151,0.934187579753297,0.950467886005955,0.963685665674181,0.974106763079541,0.982071458953637,0.987962569119524,0.992162909400255,0.995065929391748,0.997001276052744,0.998245427477669,0.999011059123777,0.99946831135687,0.999734155678435,0.999883028498512,0.999968098681412,1
